-,-,-,Форма контроля,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,211,211,7924,7924,3388,3388,3636,900,,27.5,29.5,29,28,27.5,27.5,26,16,,
Обязательная часть ,,,,,,,115,115,4468,4468,2038,2038,1962,468,,27.5,29.5,29,28,0.5,0.5,,,,
+,Б1.О.01,Философия,,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,История,,12,,,4,4,144,144,72,72,72,,,2,2,,,,,,,,
+,Б1.О.02.01,История России,,1,,,2,2,72,72,36,36,36,,,2,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.02.02,Всеобщая история,,2,,,2,2,72,72,36,36,36,,,,2,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.03,Иностранный язык,4,123,,,9,9,324,324,144,144,144,36,,2,2,2,3,,,,,347,Кафедра иностранных языков для гуманитарных направлений (ИЯ-ГН_ИФЯК)
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,3,3,108,108,54,54,54,,,,,3,,,,,,209,Кафедра техносферной и экологической безопасности 
+,Б1.О.05,"Вычислительные системы, сети и телекоммуникации",,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.06,Системный анализ,,2,,,3,3,108,108,54,54,54,,,,3,,,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.07,Программирование,3,12,,,10,10,360,360,162,162,162,36,,3,3,4,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.08,Введение в профессиональную деятельность,2,1,,,5,5,180,180,54,54,90,36,,2,3,,,,,,,404,Кафедра современных образовательных технологий (СОТ_ИППС)
+,Б1.О.09,Информационные системы и технологии,1,,,,7,7,252,252,72,72,144,36,,7,,,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.10,Высшая математика,12,,,,15,15,540,540,180,180,288,72,,8,7,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.11,Дискретная математика,2,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.12,Теория вероятностей и математическая статистика,3,,,,6,6,216,216,72,72,108,36,,,,6,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.13,Эффективная коммуникация,,1,,,3,3,108,108,54,54,54,,,3,,,,,,,,404,Кафедра современных образовательных технологий (СОТ_ИППС)
+,Б1.О.14,Информационная безопасность и защита информации,,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.15,Право,,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,228,"Кафедра предпринимательского, конкурентного и финансового права (КПКиФП_ЮРФ)"
